tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-339,Brisbane,Hard,28,A,20160104,MS001,105683,4,,Milos Raonic,R,196,CAN,25,14,2170,103819,1,,Roger Federer,R,185,SUI,34,3,8265,64 64,3,F,87,6,6,60,34,28,14,10,1,5,7,3,61,34,25,14,10,3,1
2016-339,Brisbane,Hard,28,A,20160104,MS002,103819,1,,Roger Federer,R,185,SUI,34,3,8265,106233,8,,Dominic Thiem,R,185,AUT,22,20,1600,61 64,3,SF,61,6,0,49,27,23,12,9,0,6,2,4,55,31,18,9,8,2,1
2016-339,Brisbane,Hard,28,A,20160104,MS003,105683,4,,Milos Raonic,R,196,CAN,25,14,2170,106071,7,,Bernard Tomic,R,196,AUS,23,18,1675,76(5) 76(5),3,SF,108,13,3,79,49,40,19,12,4,2,10,3,84,54,41,16,12,2,4
2016-339,Brisbane,Hard,28,A,20160104,MS004,103819,1,,Roger Federer,R,185,SUI,34,3,8265,105777,,,Grigor Dimitrov,R,191,BUL,24,28,1360,64 67(4) 64,3,QF,128,7,1,83,52,45,19,16,0,11,8,2,104,62,46,21,16,8,1
2016-339,Brisbane,Hard,28,A,20160104,MS005,106233,8,,Dominic Thiem,R,185,AUT,22,20,1600,105227,3,,Marin Cilic,R,198,CRO,27,13,2405,26 76(4) 64,3,QF,120,6,0,84,55,41,20,15,0,8,11,2,98,52,41,27,15,7,2
2016-339,Brisbane,Hard,28,A,20160104,MS006,105683,4,,Milos Raonic,R,196,CAN,25,14,2170,106298,,,Lucas Pouille,R,185,FRA,21,78,672,64 64,3,QF,77,12,4,52,29,27,12,10,0,8,6,4,73,43,33,9,10,5,1
2016-339,Brisbane,Hard,28,A,20160104,MS007,106071,7,,Bernard Tomic,R,196,AUS,23,18,1675,105453,2,,Kei Nishikori,R,178,JPN,26,8,4235,63 16 63,3,QF,120,14,1,97,62,45,13,13,8,10,5,3,84,52,35,15,12,7,11
2016-339,Brisbane,Hard,28,A,20160104,MS008,103819,1,,Roger Federer,R,185,SUI,34,3,8265,104735,,,Tobias Kamke,R,178,GER,,,,62 61,3,R16,55,2,1,40,22,18,12,7,1,6,2,4,46,27,15,6,8,1,1
2016-339,Brisbane,Hard,28,A,20160104,MS009,105777,,,Grigor Dimitrov,R,191,BUL,24,28,1360,104678,,,Viktor Troicki,R,193,SRB,29,22,1487,57 76(6) 62,3,R16,168,9,4,117,70,51,25,16,5,9,9,1,120,76,51,23,16,6,7
2016-339,Brisbane,Hard,28,A,20160104,MS010,105227,3,,Marin Cilic,R,198,CRO,27,13,2405,111202,,,Hyeon Chung,R,185,KOR,19,51,817,75 76(3),3,R16,107,18,3,77,44,37,16,12,4,9,5,2,79,50,36,15,12,6,6
2016-339,Brisbane,Hard,28,A,20160104,MS011,106233,8,,Dominic Thiem,R,185,AUT,22,20,1600,106045,,,Denis Kudla,R,180,USA,23,69,719,63 62,3,R16,57,7,1,45,33,28,8,9,0,5,0,2,48,27,19,8,8,2,0
2016-339,Brisbane,Hard,28,A,20160104,MS012,106298,,,Lucas Pouille,R,185,FRA,21,78,672,105676,6,,David Goffin,R,180,BEL,25,16,1880,76(5) 46 63,3,R16,123,13,4,106,57,45,24,15,9,4,9,1,92,50,40,20,16,1,11
2016-339,Brisbane,Hard,28,A,20160104,MS013,105683,4,,Milos Raonic,R,196,CAN,25,14,2170,104471,,,Ivan Dodig,R,183,CRO,31,87,636,67(2) 61 64,3,R16,146,17,5,106,62,51,23,15,3,10,11,2,100,66,47,17,14,7,3
2016-339,Brisbane,Hard,28,A,20160104,MS014,106071,7,,Bernard Tomic,R,196,AUS,23,18,1675,103285,,,Radek Stepanek,R,185,CZE,,,,76(6) 46 76(4),3,R16,158,19,1,114,78,56,17,17,3,6,14,5,107,66,54,18,17,4,6
2016-339,Brisbane,Hard,28,A,20160104,MS015,105453,2,,Kei Nishikori,R,178,JPN,26,8,4235,105062,,,Mikhail Kukushkin,R,183,KAZ,28,65,762,63 64,3,R16,89,5,2,61,40,29,13,10,5,7,3,0,58,36,23,10,9,4,6
2016-339,Brisbane,Hard,28,A,20160104,MS017,104735,,Q,Tobias Kamke,R,178,GER,,,,106093,,,Benjamin Mitchell,R,185,AUS,,,,62 64,3,R32,79,1,0,59,36,29,13,9,0,8,4,3,59,37,24,10,9,5,0
2016-339,Brisbane,Hard,28,A,20160104,MS018,104678,,,Viktor Troicki,R,193,SRB,29,22,1487,105449,,,Steve Johnson,R,188,USA,26,32,1240,76(3) 61,3,R32,71,3,2,56,34,28,13,10,1,8,3,0,62,33,20,14,9,4,3
2016-339,Brisbane,Hard,28,A,20160104,MS019,105777,,,Grigor Dimitrov,R,191,BUL,24,28,1360,104468,5,,Gilles Simon,R,183,FRA,31,15,2145,63 76(10),3,R32,126,8,6,81,46,36,18,11,6,5,2,3,91,55,36,16,10,3,7
2016-339,Brisbane,Hard,28,A,20160104,MS021,111202,,,Hyeon Chung,R,185,KOR,19,51,817,105032,,,Sam Groth,R,193,AUS,28,60,782,76(8) 64,3,R32,103,2,3,73,48,35,14,11,2,11,11,3,84,52,39,10,11,8,4
2016-339,Brisbane,Hard,28,A,20160104,MS022,106045,,,Denis Kudla,R,180,USA,23,69,719,105441,,,John-Patrick Smith,L,188,AUS,,,,46 63 62,3,R32,104,2,3,73,44,36,19,14,4,8,8,3,85,40,25,25,13,5,5
2016-339,Brisbane,Hard,28,A,20160104,MS023,106233,8,,Dominic Thiem,R,185,AUT,22,20,1600,105902,,,James Duckworth,R,183,AUS,,,,36 64 63,3,R32,114,4,2,80,48,35,21,14,2,9,14,1,93,42,32,26,14,6,4
2016-339,Brisbane,Hard,28,A,20160104,MS024,105676,6,,David Goffin,R,180,BEL,25,16,1880,105064,,,Thomaz Bellucci,L,188,BRA,28,37,1105,64 64,3,R32,82,3,4,57,30,23,16,10,1,10,7,2,66,40,25,15,10,7,2
2016-339,Brisbane,Hard,28,A,20160104,MS025,106298,,,Lucas Pouille,R,185,FRA,21,78,672,106415,,,Yoshihito Nishioka,L,170,JPN,,,,46 63 75,3,R32,144,17,2,95,64,53,15,16,2,15,4,3,120,64,42,30,15,12,4
2016-339,Brisbane,Hard,28,A,20160104,MS026,104471,,Q,Ivan Dodig,R,183,CRO,31,87,636,117352,,,Oliver Anderson,R,175,AUS,,,,63 62,3,R32,68,11,2,49,30,24,13,9,0,6,3,1,52,30,22,9,8,3,0
2016-339,Brisbane,Hard,28,A,20160104,MS028,106071,7,,Bernard Tomic,R,196,AUS,23,18,1675,103917,,,Nicolas Mahut,R,191,FRA,33,71,710,64 63,3,R32,69,8,0,59,34,28,14,10,4,6,4,1,50,29,21,10,9,3,5
2016-339,Brisbane,Hard,28,A,20160104,MS029,103285,,PR,Radek Stepanek,R,185,CZE,,,,105583,,,Dusan Lajovic,R,183,SRB,25,76,678,60 63,3,R32,68,3,2,48,25,18,16,8,2,8,0,2,46,25,15,8,7,4,2
2016-339,Brisbane,Hard,28,A,20160104,MS030,105062,,,Mikhail Kukushkin,R,183,KAZ,28,65,762,104797,,,Denis Istomin,R,188,UZB,29,61,781,62 75,3,R32,85,1,3,67,36,27,20,10,3,7,6,0,53,32,22,12,10,4,3
2016-451,Doha,Hard,32,A,20160104,MS001,104925,1,,Novak Djokovic,R,188,SRB,28,1,16585,104745,2,,Rafael Nadal,L,185,ESP,29,5,5230,61 62,3,F,73,4,1,44,33,26,8,8,1,7,3,1,43,28,14,6,7,3,1
2016-451,Doha,Hard,32,A,20160104,MS002,104925,1,,Novak Djokovic,R,188,SRB,28,1,16585,104607,3,,Tomas Berdych,R,196,CZE,30,6,4620,63 76(3),3,SF,103,4,1,69,45,35,13,11,3,5,4,4,68,40,28,13,10,3,4
2016-451,Doha,Hard,32,A,20160104,MS003,104745,2,,Rafael Nadal,L,185,ESP,29,5,5230,105011,,,Illya Marchenko,R,185,UKR,28,94,605,63 64,3,SF,78,6,0,53,37,33,8,10,1,7,6,1,54,35,27,7,9,5,1
2016-451,Doha,Hard,32,A,20160104,MS004,104925,1,,Novak Djokovic,R,188,SRB,28,1,16585,104919,8,,Leonardo Mayer,R,191,ARG,28,35,1150,63 75,3,QF,93,2,0,57,38,30,7,10,3,7,3,5,65,41,22,10,11,2,5
2016-451,Doha,Hard,32,A,20160104,MS005,104607,3,,Tomas Berdych,R,196,CZE,30,6,4620,106378,,,Kyle Edmund,R,188,GBR,,,,63 62,3,QF,81,7,2,59,30,22,19,9,4,11,1,0,59,39,22,10,8,8,4
2016-451,Doha,Hard,32,A,20160104,MS006,105011,,,Illya Marchenko,R,185,UKR,28,94,605,104871,7,,Jeremy Chardy,R,188,FRA,28,31,1255,63 76(3),3,QF,95,4,0,67,36,26,19,11,3,6,12,4,62,45,32,5,10,3,5
