tourney_id	tourney_name	surface	draw_size	tourney_level	tourney_date	match_num	winner_id	winner_seed	winner_entry	winner_name	winner_hand	winner_ht	winner_ioc	winner_age	winner_rank	winner_rank_points	loser_id	loser_seed	loser_entry	loser_name	loser_hand	loser_ht	loser_ioc	loser_age	loser_rank	loser_rank_points	score	best_of	round	minutes	w_ace	w_df	w_svpt	w_1stIn	w_1stWon	w_2ndWon	w_SvGms	w_bpSaved	w_bpFaced	l_ace	l_df	l_svpt	l_1stIn	l_1stWon	l_2ndWon	l_SvGms	l_bpSaved	l_bpFaced	wid	lid	atp_match_num	no_sets	no_tiebreaks	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	300	104925	1		Novak Djokovic	R	188	SRB	28	1	15550	104918	2		Andy Murray	R	191	GBR	28	2	8175	6-2 3-6 6-3	3	F	126	2	3	82	59	43	12	13	8	6	10	2	75	53	36	7	13	2	10	MS001	3	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	299	104925	1		Novak Djokovic	R	188	SRB	28	1	15550	105453	6		Kei Nishikori	R	178	JPN	26	6	4290	6-3 7-6(4)	3	SF	119	4	2	79	58	44	9	11	4	7	1	2	80	49	34	14	10	5	5	MS002	2	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	298	104918	2		Andy Murray	R	191	GBR	28	2	8175	104745	5		Rafael Nadal	L	185	ESP	29	5	5915	7-5 6-4	3	SF	131	8	1	90	49	34	19	11	11	6	1	0	62	50	31	4	11	2	13	MS003	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	297	104925	1		Novak Djokovic	R	188	SRB	28	1	15550	105683	11		Milos Raonic	R	196	CAN	25	11	2740	6-3 6-4	3	QF	104	1	3	64	42	31	15	10	3	10	4	2	69	47	31	10	9	8	3	MS004	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	294	104918	2		Andy Murray	R	191	GBR	28	2	8175	104607	8		Tomas Berdych	R	196	CZE	30	8	3120	6-3 6-2	3	QF	77	4	0	44	24	22	14	9	0	4	0	1	56	30	20	11	8	1	0	MS007	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	295	104745	5		Rafael Nadal	L	185	ESP	29	5	5915	105311			Joao Sousa	R	185	POR	27	34	1181	6-0 4-6 6-3	3	QF	125	3	0	73	55	40	12	13	2	13	1	1	71	52	35	7	12	9	3	MS006	3	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	296	105453	6		Kei Nishikori	R	178	JPN	26	6	4290	106401			Nick Kyrgios	R	193	AUS	20	20	1765	6-7(6) 7-6(1) 6-3	3	QF	159	5	1	119	84	64	21	17	3	8	18	2	108	75	58	19	16	7	3	MS005	3	2	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	293	104925	1		Novak Djokovic	R	188	SRB	28	1	15550	105138	15		Roberto Bautista Agut	R	183	ESP	28	17	2015	6-2 6-1	3	R16	68	1	0	43	27	24	7	7	0	8	1	0	50	31	13	9	8	3	0	MS008	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	286	104918	2		Andy Murray	R	191	GBR	28	2	8175	104468	16		Gilles Simon	R	183	FRA	31	18	1900	6-4 6-2	3	R16	99	2	1	53	37	28	12	9	0	6	1	1	64	34	23	12	9	3	0	MS015	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	289	104745	5		Rafael Nadal	L	185	ESP	29	5	5915	105023			Sam Querrey	R	198	USA	28	37	1090	6-4 6-2	3	R16	70	1	1	51	39	28	5	9	4	8	9	2	50	34	22	5	9	3	6	MS012	2	0	
